Cod_IBGE,Grande região,Município,Mun_Total de casos,Mun_Total de óbitos
3500105,Interior,Adamantina,3421,110
3500204,Interior,Adolfo,534,14
3500303,Interior,Aguaí,3124,95
3500402,Interior,Águas da Prata,582,22
3500501,Interior,Águas de Lindóia,1873,44
3500550,Interior,Águas de Santa Bárbara,486,15
3500600,Interior,Águas de São Pedro,330,9
3500709,Interior,Agudos,3868,95
3500758,Interior,Alambari,538,10
3500808,Interior,Alfredo Marcondes,247,10
3500907,Interior,Altair,228,12
3501004,Interior,Altinópolis,818,41
3501103,Interior,Alto Alegre,351,20
3501152,Interior,Alumínio,1484,43
3501202,Interior,Álvares Florence,478,14
3501301,Interior,Álvares Machado,2121,63
3501400,Interior,Álvaro de Carvalho,154,9
3501509,Interior,Alvinlândia,138,8
3501608,Interior,Americana,22696,702
3501707,Interior,Américo Brasiliense,3851,88
3501806,Interior,Américo de Campos,1005,28
3501905,Interior,Amparo,6522,133
3502002,Interior,Analândia,320,4
3502101,Interior,Andradina,6128,253
3502200,Interior,Angatuba,2664,64
3502309,Interior,Anhembi,264,6
3502408,Interior,Anhumas,219,7
3502507,Interior,Aparecida,2262,94
3502606,Interior,Aparecida d'Oeste,730,13
3502705,Interior,Apiaí,1403,72
3502754,Interior,Araçariguama,1814,59
3502804,Interior,Araçatuba,26184,781
3502903,Interior,Araçoiaba da Serra,2771,72
3503000,Interior,Aramina,318,17
3503109,Interior,Arandu,523,13
3503158,Interior,Arapeí,220,3
3503208,Interior,Araraquara,21860,448
3503307,Interior,Araras,16016,350
3503356,Interior,Arco-Íris,142,8
3503406,Interior,Arealva,952,15
3503505,Interior,Areias,321,1
3503604,Interior,Areiópolis,1287,18
3503703,Interior,Ariranha,920,23
3503802,Interior,Artur Nogueira,4720,119
3503901,RMSP (exceto capital),Arujá,7346,296
3503950,Interior,Aspásia,183,5
3504008,Interior,Assis,10728,377
3504107,Interior,Atibaia,10847,248
3504206,Interior,Auriflama,1896,68
3504305,Interior,Avaí,452,12
3504404,Interior,Avanhandava,996,38
3504503,Interior,Avaré,10168,231
3504602,Interior,Bady Bassitt,3660,71
3504701,Interior,Balbinos,350,4
3504800,Interior,Bálsamo,1656,63
3504909,Interior,Bananal,959,3
3505005,Interior,Barão de Antonina,409,8
3505104,Interior,Barbosa,587,12
3505203,Interior,Bariri,2915,117
3505302,Interior,Barra Bonita,3259,96
3505351,Interior,Barra do Chapéu,357,3
3505401,Interior,Barra do Turvo,600,19
3505500,Interior,Barretos,15363,473
3505609,Interior,Barrinha,1614,64
3505708,RMSP (exceto capital),Barueri,29656,1052
3505807,Interior,Bastos,1418,36
3505906,Interior,Batatais,3416,155
3506003,Interior,Bauru,47044,1084
3506102,Interior,Bebedouro,3931,156
3506201,Interior,Bento de Abreu,327,2
3506300,Interior,Bernardino de Campos,783,24
3506359,Interior,Bertioga,5492,152
3506409,Interior,Bilac,861,14
3506508,Interior,Birigui,15296,515
3506607,RMSP (exceto capital),Biritiba Mirim,1408,96
3506706,Interior,Boa Esperança do Sul,1408,17
3506805,Interior,Bocaina,1258,33
3506904,Interior,Bofete,791,14
3507001,Interior,Boituva,6102,171
3507100,Interior,Bom Jesus dos Perdões,2039,24
3507159,Interior,Bom Sucesso de Itararé,207,5
3507209,Interior,Borá,121,1
3507308,Interior,Boracéia,929,22
3507407,Interior,Borborema,1606,51
3507456,Interior,Borebi,257,3
3507506,Interior,Botucatu,16790,274
3507605,Interior,Bragança Paulista,17495,476
3507704,Interior,Braúna,586,22
3507753,Interior,Brejo Alegre,363,13
3507803,Interior,Brodowski,2632,68
3507902,Interior,Brotas,1413,47
